".recordid", ".record_timestamp", ".fields.extractiondatetime", ".fields.zipcode", ".fields.municipality"
"9944fba9d501db43470ec67a515885f19fb7f33e","2022-11-22T23:30:01.198Z","2022-11-22T23:23:00+00:00","4475-137","Vila do Conde"
"7442b968fe22b6e9d06e52718516ddae43c5b3c2","2022-11-22T23:30:01.198Z","2022-11-22T23:23:00+00:00","4475-611","Vila do Conde"
"dd09429d5a1dae1b9d139e6340a9a8ad913f07a6","2022-11-22T23:30:01.198Z","2022-11-22T23:23:00+00:00","4475-676","Vila do Conde"
"f524e7f9111e18a3ee98250b636cc695325922f9","2022-11-22T23:30:01.198Z","2022-11-22T23:23:00+00:00","4475-700","Vila do Conde"
"a772f4d21ef5ec4584c6cae3f4e47fc441d1e501","2022-11-22T23:30:01.198Z","2022-11-22T23:23:00+00:00","4475-717","Vila do Conde"
"7d2dbe949a5627e8870af0b12f4f70b6f7d1337e","2022-11-22T23:30:01.198Z","2022-11-22T23:23:00+00:00","4475-729","Vila do Conde"
"e549e82ffda02afc2db86a01feb651dcdb82d19f","2022-11-22T23:30:01.198Z","2022-11-22T23:23:00+00:00","4485-238","Vila do Conde"
"6af306dd87c621ec003ba54ef000877d4873e905","2022-11-22T23:30:01.198Z","2022-11-22T23:23:00+00:00","4485-262","Vila do Conde"
"048b234a99817a67b7a52b3d02e0835301d3a774","2022-11-22T23:30:01.198Z","2022-11-22T23:23:00+00:00","4745-069","Vila do Conde"
"45a8bac6958377069b804c3c429a5844d9e4bcfd","2022-11-22T23:30:01.198Z","2022-11-22T23:23:00+00:00","4475-680","Vila do Conde"
"1abaaba1c2d5938c3dd20807c63f2f3dd5eba710","2022-11-22T23:30:01.198Z","2022-11-22T23:23:00+00:00","4475-694","Vila do Conde"
"0b5ba37586be19a321ef4518e95af7fdf74645ea","2022-11-22T23:30:01.198Z","2022-11-22T23:23:00+00:00","4475-699","Vila do Conde"
"1678ce6858fc20163d2bd2e8b68537412c9bf5eb","2022-11-22T23:30:01.198Z","2022-11-22T23:23:00+00:00","4475-703","Vila do Conde"
